"商品特定コード指定","システム商品コード","独自商品コード","商品名","販売価格","数量","オプショングループ"
"0","000000000092","omakase-n3-w","訳あり おまかせパソコン 中古 ノートパソコン 第6世代 Core i5 新品SSD256GB メモリ8GB 15インチワイド Windows11 Office付き","20999","18","[SP4180]"
"0","000000000094","d-furtx100s101","PCサーバ 富士通 PRIMERGY TX100 S1 Xeon E3110 メモリ2GB HDD500GB＋HDD500GB DVDROM OS無しモデル 中古","17800","0","[SP4150]"
"0","000000000096","omakase-d2","おまかせデスクトップ AMD PRO A6-9500 4GB 新品SSD128GB Windows11 Pro デスクトップパソコン Office付き 中古","12999","178","[SP3440]"
"0","000000000099","omakase-d2b","おまかせデスクトップPC 22型ワイド液晶セット AMD PRO A6-9500 4GB 新品SSD128GB Windows11 Pro デスクトップパソコン Office付き 中古","20999","178","[SP1120]"
"0","000000000100","d-lemm710s01","Lenovo ThinkCentre M710s Small Core i3 7100 メモリ4GB HDD500GB DVDマルチ Win10 Pro 64bit Office付き","13900","0","[SP1780]"
"0","000000000101","d-lemm710s01b","22型液晶セット Lenovo ThinkCentre M710s Small Core i3 7100 メモリ4GB HDD500GB DVDマルチ Win10 Pro","21900","0","[SP1790]"
"0","000000000102","d-lemm710s01c","24型液晶セット Lenovo ThinkCentre M710s Small Core i3 7100 メモリ4GB HDD500GB DVDマルチ Win10 Pro","24900","0","[SP1800]"
"0","000000000103","d-game01","ゲーミングPC デスクトップ GeForce GT1030 DELL HP Lenovo Corei5 メモリ16GB 新品SSD512GB Win11Pro 中古","49800","22","[SP1070]"
"0","000000000104","d-game01b","22型液晶セット ゲーミングPC デスクトップ GeForce GT1030 DELL HP Lenovo Corei5 メモリ16GB 新品SSD512GB Win11 中古","59800","22","[SP1600]"
"0","000000000115","omakase-d5","おまかせパソコン 中古 デスクトップパソコン 第6世代 Core i3 メモリ8GB 新品SSD128GB DVDROM Windows11 Office付","15999","0","[SP4170]"
"0","000000000116","omakase-d5a","おまかせパソコン 中古 デスクトップパソコン 22型液晶セット 第6世代 Core i3 メモリ8GB 新品SSD128GB Windows11 Office付","23999","0","[SP4920]"
"0","000000000117","omakase-d6","おまかせパソコン 中古 デスクトップパソコン 第6世代 Core i5 メモリ8GB 新品SSD256GB DVDROM Windows11 Office付","21999","0","[SP4180]"
"0","000000000118","omakase-d6a","おまかせパソコン 中古 デスクトップパソコン 22型液晶セット 第6世代 Core i5 メモリ8GB 新品SSD256GB Windows11 Office付","29999","0","[SP4930]"
"0","000000000158","d-der301003","Windows11インストール済み DELL Optiplex 3010 SF Corei3 3220 メモリ4GB 新品SSD128GB DVD Office付き","20999","0",""
"0","000000000159","d-der301003b","Windows11インストール済み 22型液晶セット DELL Optiplex 3010 SF Corei3 3220 メモリ4GB 新品SSD128GB","28999","0",""
"0","000000000160","d-hpx400g2dm02","Windows11インストール済み HP ProDesk 400 G2 DM Celeron G3900T 新品SSD128GB キーボードマウス付き","22999","0","[SP2440]"
"0","000000000161","d-hpx400g2dm02b","Windows11インストール済み 22型液晶セット HP ProDesk 400 G2 DM Celeron G3900T メモリ4GB 新品SSD128GB","30999","0","[SP2450]"
"0","000000000165","m-so43fw43bz35f01","4K液晶モニタ Android TV SONY FW-43BZ35F/BZ 43V型 液晶ディスプレイ デジタルサイネージ","59800","0",""
"0","000000000166","m-so55fw55bz35f01","4K液晶モニタ Android TV SONY FW-55BZ35F/BZ 55V型 液晶ディスプレイ デジタルサイネージ","69900","0",""
"0","000000000167","w-ne24ew241wm01","訳あり NEC MultiSync LCD-EA241WM 24.1型ワイド 液晶モニタ アナログRGB デジタルDVI-D WUXGA 中古","5980","0",""
"0","000000000168","t-so32kj-32w730c02","SONY BRAVIA KJ-32W730C 32V型 液晶テレビ 地上デジタル・BS・110度CS 純正リモコン・B-CASカード付属 中古","35800","0","[SP1010]"
"0","000000000169","t-so40kj-40w700c01","SONY BRAVIA KJ-40W700C 40V型 液晶テレビ 地上デジタル・BS・110度CS 純正リモコン・B-CASカード付属 中古","39800","0","[SP1010]"
"0","000000000170","t-so40kj-40w730c01","SONY BRAVIA KJ-40W730C 40V型 液晶テレビ 地上デジタル・BS・110度CS 純正リモコン・B-CASカード付属 中古","41800","0","[SP1010]"
"0","000000000171","t-so43kj-43w730e01","SONY BRAVIA KJ-43W730E 43V型 液晶テレビ 地上デジタル・BS・110度CS 純正リモコン・B-CASカード付属 中古","49800","0","[SP1010]"
"0","000000000172","t-so49kj-49x8000c01","SONY BRAVIA KJ-49X8000C 49V型 液晶テレビ 地上デジタル・BS・110度CS 純正リモコン・B-CASカード付 中古","75800","0","[SP1010]"
"0","000000000173","t-to3232s701","東芝 REGZA 32S7 32V型 液晶テレビ 地上デジタル・BS・110度CS 純正リモコン・B-CASカード付属 中古","24000","0","[SP1010]"
"0","000000000174","o-otcamera02","新品 国内発送 即納可能 HD 720p Webカメラ ウェブカメラ カメラ マイク内蔵 マイク付き テレワーク","2680","0",""
"0","000000000175","o-otthermo01","新品 国内発送 即納可能 HIKVISION DS-2TP31B-3AUF 体表面温度測定用サーモグラフィカメラ 日本語取説付き","96800","1",""
"0","000000000176","o-bo101mm01","BOSE Model 101 Music Monitor system 101MM スピーカー ボーズ ミュージックモニタースピーカーシステム","12800","0",""
"0","000000000177","o-sodptrp101","美品  展示品 ソニー SONY DPT-RP1 デジタルペーパー 電子メモ帳 A4サイズ スタイラスペン付き 中古","37800","0",""
"0","000000000180","o-otwmb01","【新品】 防水壁付け用ブラケット PFB203W ドームカメラ用取り付け金具 防犯カメラ カメラマウント","3480","0",""
"0","000000000182","o-otwmb03","【新品】 壁付け用ブラケット PFB305W カメラ用取り付け金具 防犯カメラ カメラマウント ロープフック付き","5480","0",""
"0","000000000184","o-otwmb05","【新品】 ポール用取付金具 PFA152-E ポールマウントブラケット カメラ用取り付け金具 防犯カメラマウント","3980","0",""
"0","000000000192","d-der7060sf01","中古 ゲーミングPC eスポーツ GeForce GT 1030 新品NVMe SSD250GB DELL Optiplex 7060 SF デスクトップパソコン 第8世代 Corei7 8700 メモリ8GB DVDROM USB3.0 Windows10 Pro Office付き","73900","0","[SP1830]"
"0","000000000193","d-der7060sf01b","中古 ゲーミングPC eスポーツ GeForce GT 1030 新品NVMe SSD250GB DELL Optiplex 7060 SF 22型ワイド液晶セット デスクトップパソコン 第8世代 Corei7 8700 メモリ8GB DVDマルチ USB3.0 Windows10 Pro Office付き","81900","0","[SP1840]"
"0","000000000200","d-game04","中古 おまかせゲーミングPC eスポーツ GeForce GT1030 デスクトップパソコン 第4世代以降 Corei3 メモリ8GB 新品SSD256GB Windows11 Pro Office付き パソコン ゲーミングパソコン デスクトップ 中古パソコン GT 1030","35800","4","[SP1080]"
"0","000000000201","d-game04b","中古 おまかせゲーミングPC eスポーツ GeForce GT1030 デスクトップパソコン 22型ワイド液晶セット 第4世代以降 Corei3 メモリ8GB 新品SSD256GB Windows11 Pro Office付き パソコン ゲーミングパソコン デスクトップ 中古パソコン GT 1030","45800","4","[SP1860]"
"0","000000000220","dh-tpc-ht2201","新品 国内発送 即納可能 Dahua DH-TPC-HT2201 体温測定用サーモグラフィカメラ 【日本語版MENU/AI顔認識機能搭載】非接触体表面温度計・三脚セット","89800","3",""
"0","000000000222","ds-k1ta70mi-t","新品 国内発送 即納可能 HIKVISION DS-K1TA70MI-T 体表面温度計測機能付 顔認証リーダー 卓上スタンド付き/タッチスクリーン 体温測定 体温測定カメラ 非接触体温計 コロナ対策 体温計 非接触 スタンド サーマルカメラ 検温機 検温器 検温 顔認証 ウイルス対策","148000","0",""
"0","000000000223","mse-gp100","新品 国内発送 即納可能 MSE-GP100 高感度クイックデジタル測定・赤外線温度チェッカー 【充電式コードレスタイプ・非接触リアルタイム検温・三脚付き温度計日本語マニュアル付】","17800","0",""
"0","000000000224","mse-gp100sp","新品 国内発送 即納可能 MSE-GP100/SP 高感度クイックデジタル測定・赤外線温度チェッカー 【非接触リアルタイム検温・三脚付き温度計・日本語マニュアル付】","12500","0",""
"0","000000000233","n-dexe727001","DELL Latitude E7270 第6世代 Core i5 6200U メモリ4GB SSD256GB 12.5インチ 無線LAN Windows10 Pro Office付き 中古ノートパソコン 中古パソコン ノートパソコン 中古","22900","2","[SP1090]"
"0","000000000245","t-to3232s801","中古 東芝 REGZA 32S8 32V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 純正リモコン・B-CASカード","24000","0",""
"0","000000000247","w-so40kj-40w730c02","訳あり 箱有り SONY BRAVIA KJ-40W730C 40V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI フルHD 純正リモコン・B-CASカード付属 中古","35800","0","[SP1010]"
"0","000000000248","w-so40kj-40w730c03","訳あり 箱有り SONY BRAVIA KJ-40W730C 40V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI フルHD 純正リモコン・B-CASカード付属 中古","34800","0","[SP1010]"
"0","000000000249","w-so40kj-40w730c04","訳あり 箱有り SONY BRAVIA KJ-40W730C 40V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI フルHD 純正リモコン・B-CASカード付属 中古","34800","0","[SP1010]"
"0","000000000250","w-so40kj-40w730c05","訳あり 箱有り SONY BRAVIA KJ-40W730C 40V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI フルHD 純正リモコン・B-CASカード付属 中古","36800","0","[SP1010]"
"0","000000000251","w-so40kj-40w730c07","訳あり 箱有り SONY BRAVIA KJ-40W730C 40V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI フルHD 純正リモコン・B-CASカード付属 中古","36800","0","[SP1010]"
"0","000000000252","w-so43kj-43w730e03","訳あり 箱有り SONY BRAVIA KJ-43W730E 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI フルHD 純正リモコン・B-CASカード付属 中古","45800","0","[SP1010]"
"0","000000000253","w-so43kj-43w730e04","訳あり 箱有り SONY BRAVIA KJ-43W730E 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI フルHD 純正リモコン・B-CASカード付属 中古","37800","0","[SP1010]"
"0","000000000254","w-so43kj-43x8000e01","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8000E 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古","54800","0","[SP1010]"
"0","000000000255","w-so43kj-43x8000e03","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8000E 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古","48800","0","[SP1010]"
"0","000000000256","w-so43kj-43x8000e04","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8000E 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古","49800","0","[SP1010]"
"0","000000000257","w-so43kj-43x8000e05","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8000E 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古","48800","0","[SP1010]"
"0","000000000258","w-so43kj-43x8300d02","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8300D 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古 在宅","47800","0","[SP1010]"
"0","000000000259","w-so43kj-43x8300d03","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8300D 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古 在宅","48800","0","[SP1010]"
"0","000000000260","w-so43kj-43x8300d04","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8300D 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古 在宅","47800","0","[SP1010]"
"0","000000000261","w-so43kj-43x8300d06","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8300D 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古 在宅","48800","0","[SP1010]"
"0","000000000262","w-so43kj-43x8300d08","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8300D 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古 在宅","47800","0","[SP1010]"
"0","000000000263","w-so43kj-43x8300d11","訳あり 箱有り 4Kテレビ SONY BRAVIA KJ-43X8300D 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K 純正リモコン・B-CASカード付属 中古 在宅","49800","0","[SP1010]"
"0","000000000264","w-so55fw55bz35f01","訳あり 箱有り 4K液晶モニタ Android TV SONY FW-55BZ35F/BZ 55V型 液晶ディスプレイ ブラック HDMI 縦・横両用モデル パブリックディスプレイ デジタルサイネージ 液晶モニタ 4K","58900","0","[SP1010]"
"0","000000000265","w-so55fw55bz35f02","訳あり 箱有り 4K液晶モニタ Android TV SONY FW-55BZ35F/BZ 55V型 液晶ディスプレイ ブラック HDMI 縦・横両用モデル パブリックディスプレイ デジタルサイネージ 液晶モニタ 4K","59900","0","[SP1010]"
"0","000000000266","w-so55fw55bz35f03","訳あり 箱有り 4K液晶モニタ Android TV SONY FW-55BZ35F/BZ 55V型 液晶ディスプレイ ブラック HDMI 縦・横両用モデル パブリックディスプレイ デジタルサイネージ 液晶モニタ 4K","59900","1","[SP1010]"
"0","000000000267","w-so55fw55bz35f04","訳あり 箱有り 4K液晶モニタ Android TV SONY FW-55BZ35F/BZ 55V型 液晶ディスプレイ ブラック HDMI 縦・横両用モデル パブリックディスプレイ デジタルサイネージ 液晶モニタ 4K","59900","0","[SP1010]"
"0","000000000268","w-so55fw55bz35f05","訳あり 箱有り 4K液晶モニタ Android TV SONY FW-55BZ35F/BZ 55V型 液晶ディスプレイ ブラック HDMI 縦・横両用モデル パブリックディスプレイ デジタルサイネージ 液晶モニタ 4K","55900","1","[SP1010]"
"0","000000000282","t-so55kj-55x8500e01","【中古】 箱有り SONY BRAVIA KJ-55X8500E 55V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 4K対応 純正リモコン・B-CASカード付属 | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 大画面 ソニー テレビモニター 中古テレビ ブラビア 大型","69800","0","[SP1010]"
"0","000000000283","t-so26kdl26j501","【中古】 箱有り SONY BRAVIA KDL-26J5 26V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI リモコン・B-CASカード付属 | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 ソニー テレビモニター 26インチ 中古テレビ ブラビア","16800","0","[SP1010]"
"0","000000000284","t-so22kdl-22ex30001","【中古】 4Kテレビ SONY BRAVIA KDL-22EX300 22V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI リモコン・B-CASカード付属 | tv テレビモニター モニター 22インチ 中古テレビ ソニー 生活家電 画面 パソコンモニター テレワーク 在宅","12800","0","[SP1010]"
"0","000000000285","w-so24kj-24w450d01","【中古】【訳あり】 SONY BRAVIA KJ-24W450D 24V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 純正リモコン・B-CASカード付属 | 中古テレビ 液晶 液晶ディスプレイ ディスプレー TV テレビ 24型 ソニー ブラビア 24インチ","12800","0","[SP1010]"
"0","000000000286","w-so24kdl-24w600a01","【中古】【訳あり】 SONY BRAVIA KDL-24W600A 24V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 純正リモコン・B-CASカード付属 | 中古テレビ 液晶 液晶ディスプレイ ディスプレー TV テレビ 24型 ソニー ブラビア 24インチ","12800","0","[SP1010]"
"0","000000000287","m-so65fw65bz35f01","【中古】 箱有り 4K液晶モニタ Android TV SONY FW-65BZ35F/BZ 65V型 液晶ディスプレイ ブラック HDMI 縦・横両用モデル パブリックディスプレイ デジタルサイネージ 液晶モニタ 4K","79900","0",""
"0","000000000288","t-so65kj-65z9d01","【中古】 箱有り SONY BRAVIA KJ-65Z9D 65V型 液晶テレビ ブラック 3D対応 地上デジタル BSデジタル 110度CSデジタル HDMI 4K対応 純正リモコン・B-CASカード付属 | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 大画面 ソニー テレビモニター ブラビア 大型","186000","0","[SP1010]"
"0","000000000289","t-so43kj-43w730e02","【中古】 SONY BRAVIA KJ-43W730E 43V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル フルHD HDMI リモコン・B-CASカード付属 | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 ソニー テレビモニター 43インチ 中古テレビ ブラビア","56600","0","[SP1010]"
"0","000000000290","t-so32kdl-32ex42001","【中古】 SONY BRAVIA KDL-32EX420 32V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI リモコン・B-CASカード付属 | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 ソニー テレビモニター 32インチ 中古テレビ ブラビア","24000","0","[SP1010]"
"0","000000000291","t-sh32lc32e802","【中古】 SHARP AQUOS LC-32E8 32V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 純正リモコン・B-CASカード付属 | 中古テレビ 液晶 液晶ディスプレイ ディスプレー TV テレビ 32型 シャープ アクオス 32インチ","22000","0","[SP1010]"
"0","000000000292","t-pa26th26lrg30j01","【中古】 Panasonic VIERA TH-26LRG30J 26V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 純正リモコン・B-CASカード付属 | 中古テレビ 液晶 液晶ディスプレイ ディスプレー TV テレビ 26型 シャープ アクオス 26インチ","19000","0","[SP1010]"
"0","000000000293","t-to6565z8x01","【中古】 東芝 REGZA 65Z8X 65V型 液晶テレビ ブラック 3D対応 地上デジタル BSデジタル 110度CSデジタル HDMI 4K対応 リモコン・B-CASカード付属 | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 大画面 TOSHIBA テレビモニター レグザ 大型","117800","0","[SP1010]"
"0","000000000294","t-to2626a101","【中古】 東芝 REGZA 26A1 26V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 純正リモコン・B-CASカード付属 |  | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 ソニー テレビモニター 26インチ 中古テレビ TOSHIBA レグザ","19000","0","[SP1010]"
"0","000000000295","t-to3232s501","【中古】 東芝 REGZA 32S5 32V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI リモコン・B-CASカード付属 |  | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 ソニー テレビモニター 32インチ 中古テレビ TOSHIBA レグザ","27600","0","[SP1010]"
"0","000000000296","t-to4747z201","【中古】 東芝 REGZA 47Z2 47V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル フルHD HDMI リモコン・B-CASカード付属 |  | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 ソニー テレビモニター 47インチ 中古テレビ TOSHIBA レグザ","51140","0","[SP1010]"
"0","000000000297","t-to5555zg201","【中古】 東芝 REGZA 55ZG2 55V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル フルHD HDMI リモコン・B-CASカード付属 |  | ディスプレイ テレビ TV 液晶ディスプレイ 液晶 ソニー テレビモニター 55インチ 中古テレビ TOSHIBA レグザ","61140","0","[SP1010]"
"0","000000000361","n-fura576p01","富士通 LIFEBOOK A576 15.6インチ 第6世代 Core i5 6200U以上 メモリ4GB 新品SSD128GB テンキー 無線LAN Windows11 Pro ノートパソコン Office付き 中古","14999","0","[SP3690]"
"0","000000000363","n-hpxx2210g201","タブレットPC Webカメラ HP x2 210 G2 Atom x5-Z8350 メモリ4GB SSD64GB 10インチ 無線LAN Bluetooth Windows11 Pro Office付き ノートパソコン 軽量 モバイル 【中古】","19800","7","[SP4150]"
"0","000000000501","w-nexvk23tgvu02","【訳あり】 NEC VersaPro VK23T/GV-U UltraLite タイプVG Webカメラ 第6世代 Core i5 6200U メモリ8GB SSD256GB 13.3インチ フルHD Windows11 Pro Office付き 中古ノートパソコン 中古パソコン","22999","16","[SP2480]"
"0","000000000520","t-pa24th24d300ht01","【中古】 Panasonic VIERA TH-24C305HT 24V型 液晶テレビ ブラック 地上デジタル BSデジタル 110度CSデジタル HDMI 純正リモコン・B-CASカード付属 | 中古テレビ 液晶 液晶ディスプレイ ディスプレー TV テレビ 24型 パナソニック ビエラ 24インチ","14800","0",""
"0","000000000521","w-hpxfoliog101","【訳あり】 高性能モバイル Webカメラ HP EliteBook Folio G1 Core m5-6Y54 メモリ8GB SSD256GB 12.5インチ USB3.0 無線LAN Bluetooth カメラ Windows11 Pro Office付き | 中古ノートパソコン","19800","1","[SP3760]"
"0","000000000629","n-fure734h01","ノートパソコン 中古 富士通 LIFEBOOK E734/H 第4世代 Core i5 4310M メモリ4GB 新品SSD128GB DVDROM 13.3インチ 無線LAN Windows11 Pro Office付き 中古ノートパソコン 中古パソコン リフレッシュPC","16900","0","[SP1300]"
"0","000000000648","n-dex548004","Windows11 ノートパソコン 中古 大容量メモリ16GB SSD256GB Webカメラ DELL Latitude 5480 第6世代 Core i5 6300U 14インチ USB3.0 無線LAN Windows11 Pro Office付き 中古ノートパソコン 中古パソコン","29800","0","[SP2790]"
"0","000000000649","n-eprnj3700e03","Windows11 ノートパソコン 中古 EPSON Endeavor NJ3700E Core i5 3210M以上 メモリ4GB 新品SSD128GB DVDROM 15.6インチ テンキー USB3.0 無線LAN Windows11 Pro 64bit Office付き 中古ノートパソコン 中古パソコン ノートPC 中古PC","20999","0","[SP2760]"
"0","000000000650","n-hpr450g302","Windows11  ノートパソコン 中古 新品SSD256GB Webカメラ HP ProBook 450 G3 第6世代 Core i5 6200U メモリ8GB DVDROM 15.6インチ テンキー USB3.0 無線LAN Windows11 Pro Office付き 中古ノートパソコン 中古パソコン ノートパソコン ノートPC","24800","0","[SP4180]"
"0","000000000651","n-hpx430g304","Windows11 ノートパソコン 中古 Webカメラ HP ProBook 430 G3 第6世代 Core i5 6200U メモリ12GB 新品SSD128GB 13.3型 Bluetooth 無線LAN Windows11 Pro Office付き 中古ノートパソコン 中古パソコン ノートパソコン 軽量 モバイル","20800","0","[SP1340]"
"0","000000000652","n-nervk20eann02","Windows11 ノートパソコン 中古 NEC VersaPro VK20E/X-N 第4世代 Celeron 2950M メモリ4GB 新品SSD128GB DVDROM 15.6インチ 無線LAN Windows11 Pro Office付き 中古ノートパソコン 中古パソコン リフレッシュPC","15900","0","[SP2760]"
"0","000000000653","n-nexvk02","Windows11 ノートパソコン 中古 Webカメラ 軽量 モバイル NEC VersaPro VKM24/B-1 第6世代 Core i5 6300U メモリ8GB 新品SSD128GB 12.5インチ USB3.0 無線LAN Windows11 Pro Office付き 中古ノートパソコン 中古パソコン ノートPC","19800","0","[SP4170]"
"0","000000000654","n-torb5502","Windows11 ノートパソコン 中古 東芝 dynabook B55 第6世代 Core i5 6200U メモリ8GB SSD250GB DVDROM 15.6インチ テンキー USB3.0 無線LAN Windows11 Pro Office付き 中古ノートパソコン 中古パソコン リフレッシュPC","23900","0","[SP4260]"
"0","000000000655","w-nexvkt25gv302","Windows11 ノートパソコン 中古 【訳あり】 Webカメラ NEC VersaPro VKT25/GV-3 UltraLite タイプVG 第7世代 Core i5 7200U メモリ8GB SSD256GB 13.3インチ フルHD 無線LAN Windows11 Pro Office付き 中古ノートパソコン 中古パソコン ノートPC","31800","0","[SP2480]"
"0","000000000656","n-dexvo349001","ノートパソコン 中古 Webカメラ DELL Vostro 3490 第10世代 Core i5 10210U メモリ8GB 新品SSD256GB 14インチ フルHD Bluetooth Windows 10 Pro Office付き 中古ノートパソコン 中古パソコン 軽量 モバイル","44800","0",""
"0","000000000657","n-hpx830g601","ノートパソコン 中古 Windows11選択可能！ Webカメラ HP EliteBook 830 G6 第8世代 Core i7 8565U メモリ16GB 新品NVMe SSD500GB 13.3インチ フルHD Windows 10 Pro Office付き 中古ノートパソコン 中古パソコン 軽量モバイル ","59800","0","[SP2600]"
"0","000000000668","w-paxsz501","ノートパソコン 中古 【訳あり】Webカメラ Panasonic Let's note CF-SZ5 第6世代 Core i5 6200U以上 メモリ8GB SSD256GB(M.2) 12.1インチ WUXGA Windows10 Pro 64bit Office付き 中古ノートパソコン 中古パソコン 軽量 パナソニック レッツノート","18800","19","[SP4150]"
